APN,StreetAddress,PermitNo,PermitType,PermitStatus,DateIssued,DateFinal,DescriptionOfWork,is_sfr,is_geotech,doc_url,Itemnum,StreetNumber,StreetName,DocDate,OnBaseDocType,DocTypeESD,UnitNo,CommercialTenant
4449001011,18834 PACIFIC COAST HWY,26-1141,ELECTRICAL,ISSUED,2026-05-27T00:00:00,,"ELECTRICAL SERVICE UPGRADE FOR ESFR. INSTALL NEW 400A MSP, SAME LOCATION. EXISTING SERVICE TO GO FROM OVERHEAD TO UNDERGROUND.",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=830649,830649,18834,PACIFIC COAST HWY,2026-05-27T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449001012,18830 PACIFIC COAST HWY,26-1183,BUILDING,ISSUED,2026-06-01T00:00:00,,,False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=830721,830721,18830,PACIFIC COAST HWY,2026-06-01T20:01:25,ESD-Street Files/Building Permits,PERMITS,,
4449001020,18860 PACIFIC COAST HWY,25-2110,ELECTRICAL,FINALLED,2025-11-10T00:00:00,2025-12-29T00:00:00,REPLACING A MAIN PANEL 400 AMP 120/240 VAC ONE PHASE 3 WIRES COMBINATION METER LOAD CENTER WITH TWO MAIN BREAKERS 200 AMP EACH,False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=817265,817265,18860,PACIFIC COAST HWY,2025-11-10T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449002021,"18970 PACIFIC COAST HWY, 1",26-1121,BUILDING,ISSUED,2026-05-21T00:00:00,,"ESFR - REPAIR DAMAGED PORTION OF ROOF PER PLAN APPROX. 50 SF, MATERIALS MUST MEET CLASS ""A"" /CRRC REQUIREMENTS. REMOVE AND REPLACE EXTERIOR DECKING W/42"" GUARDRAILS, REMOVE AND REPLACE EXTISTING GLAZED DOORS AND WINDOWS DAMAGED BY THE PALISADES FIRE.",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=830025,830025,18970,PACIFIC COAST HWY,2026-05-21T00:00:00,ESD-Street Files/Building Permits,PERMITS,1,
4449002022,"18980 PACIFIC COAST HWY, 2",25-1771,BUILDING,ISSUED,2025-10-03T00:00:00,,"ESFR - REPLACE INSULATION AS NEEDED, DRYWALL 4"" ABOVE FLOOR AS NEEDED DUE TO MUDD/WATER DAMAGE.  * PRE-SITE INSPECITON REQUIRED TO START OF WORK.  CE INSPECTION REQUIRED WHEN WORK HAS BEEN COMPLETED.",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=808432,808432,18980,PACIFIC COAST HWY,2025-10-03T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449002041,18964 PACIFIC COAST HWY,26-0915,BUILDING,ISSUED,2026-04-23T00:00:00,,,False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=827729,827729,18964,PACIFIC COAST HWY,2026-04-24T00:01:29,ESD-Street Files/Building Permits,PERMITS,,
4449002042,18960 PACIFIC COAST HWY,25-1637,BUILDING,ISSUED,2025-09-16T00:00:00,,"ESFR: INTERIOR REMODEL W/ EXTEIOR ALTERATIONS OF AN EXISTING (2) STORY SFR INCLUDING ROOF FRAMING SLOPE CHANGES TO NEW BUILDING HEIGHT OF 22'2"". LOWER-LEVEL CEILING HEIGHT RAISED TO 8' TO BRING TO CODE COMPLIANT. TOTAL 1533 SF. RAISE THE LOWER DECK W",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=815412,815412,18960,PACIFIC COAST HWY,2025-09-16T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449002049,18926 PACIFIC COAST HWY,25-5058,SEPTIC,ISSUED,2025-07-14T00:00:00,,"PUMP SEPTIC TANK, REMOVAL OF EXISTING SEPTIC TANKS AND LEECH FIELD DUE TO PALISADES FIRE. FOR SAFETY PURPOSES, SCHEDULE A PRE-CONSTRUCTION SITE VISIT WITH A CITY INSPECTOR PRIOR TO THE START OF WORK. CONTACT CALTRANS IF ENCROACHMENT PERMIT REQUIRED",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=799518,799518,18926,PACIFIC COAST HWY,2025-07-14T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449002053,18912 PACIFIC COAST HWY,25-5048,SEPTIC,FINALLED,2025-06-18T00:00:00,2025-08-19T00:00:00,"PUMP SEPTIC TANK, REMOVAL OF EXISTING SEPTIC TANK AND OR LEECH FIELD DUE TO PALISADES FIRE. FOR SAFETY PURPOSES SCHEDULE A PRE-CONSTRUCTION SITE VISIT WITH A CITY  INSPECTOR PRIOR TO THE START OF WORK. CONTACT CALTRANS IF ENCROACHMENT PERMIT REQUIRED",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=807988,807988,18912,PACIFIC COAST HWY,2025-06-18T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449002054,18908 PACIFIC COAST HWY,25-0687,BUILDING,FINALLED,2025-04-17T00:00:00,2025-10-10T00:00:00,"DEBRIS REMOVAL OF SFR DUE TO PALISADES FIRE. PRIOR TO COMMENCEMENT OF DEBRIS REMOVAL, ALL ONSITE WASTEWATER TREATMENT SYSTEM COMPONENTS MUST BE LOCATED, PROTECTED IN PLACE, AND CAPPED AS NECESSARY WHERE APPLICABLE.   SCHEDULE A PRE- SITE MEETING WITH",False,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=809175,809175,18908,PACIFIC COAST HWY,2025-04-17T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
