APN,geo_url_1,geo_year_1,geo_url_2,geo_year_2,geo_url_3,geo_year_3,coastal_url_1,coastal_year_1,coastal_url_2,coastal_year_2,coastal_url_3,coastal_year_3
4448005029,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AefcZkbqW6OYBPFyYMOSqGxJ1mOQWCJzn%C3%81C%C3%817VX3ND7Ht6ZynYcFJ%C3%89VxR%C3%897Kn5bTqNAlDzQZamld5%C3%89rTnmwQwz4%3D/,2006,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWQgJA5NRBuJtQN0YRi1UZXITdkEs8jF%C3%81p0fhRvLshKc%C3%89ODA5jEaTtxTZLgtxC%C3%819iXUaoupLPeOT%C3%8131cBDqH9Cs%3D/,2006,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AT%C3%8990aF5jd4PcdH6tNiF2hudleearnq%C3%81J96F3sZs%C3%81Nn8EWnAbd2YCcT7tPczl8mI%C3%89uzJvTNZFEjduX%C3%816l3d7YY4%3D/,2006,,,,,,
4449001022,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARcX08C7a3txN7rAc6b11yQzXRy2xKcUz%C3%81xhBtn5PVYIrRQI2x5Z%C3%89sf2kSMNb81GNZOwwl40cHSpAfs32kvCaq8%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbVz7VNmoWGrxgUhZ3LGyKbCPcXw1wkaDof4Y6jKPFhupgiNAG%C3%81gqvsUfghTrSLZH%C3%89ULi73Zovmi%C3%89qIv0dqL7QM%3D/,2019,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AakWlZ6nrLa8LmGqqJecP2jSa2UohxVOj%C3%89giKNj%C3%81uYtIKTH2EiNXWkVLtVSz2%C3%81FyhdbZAmDVd5hMdhUimPqFEyg%3D/,2010,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYo6qbkMRfm9KlQbHO3%C3%81KwpkMmNGgi0HAyUq%C3%814NvecicMLtZzwy%C3%81%C3%89zNWwUp0UHZdMmBrxTMsyPNz3X2Lfx6xidY%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQd7HQnSMmAEByvOymfQ0dKWH5flcLaTi7Pzh9opM2AeotsHiAvKVn8SUM30DUlFaj%C3%81ICwURXGJxle1LajXmLDI%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYR0fUqTihY%C3%899JQeBZ%C3%81hBP%C3%81c8Zd75F7EU9Oj1X2pCFqL2aYGJLvhVzHUMTVFBlUwemws8FnFWiS5HlyVw1%C3%81Lyss%3D/,2020
4449001023,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ATk7UgI2sdSo%C3%89xrAfU1KZ%C3%81QRvtzo2Vqn8NOKfVJ0dylYL2K1qBVxzdLl8FU%C3%81KMRJQrj2oJwoHtDh9BJV4ylJhsE%3D/,2017,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbxhEHf%C3%89%C3%81POFwUAcbccHkhgqFor3bQJdhE4dxzhpyujM3CivaHmxT5oD3UcSDJtnP4sGFAivcWFeb05t%C3%81otncfw%3D/,2017,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARXgXL%C3%81LLeuSZrltXKipSlQj0ptov9sx2o6aBeBxMxf4adDzQi3sm8MDdHXyC3u9Y3HB%C3%89Nr5vr9b1m6vUEL9jgc%3D/,2010,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXWWSSvo2WhddBB9Nt%C3%89BJlXUtAS4Te%C3%81QGLj%C3%89iwwLCZcrltBLWXAhOkxsQSLwh6HeMRLildr2wvWPGxndDZnoq6g%3D/,2017,,,,
4449001024,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AdVK3vphI0UjoQp72tbEdLJ1HuJ16N71vk822cH5BIjkMq8vXVtzCZz7cyEaacsDMKAjZhrYKPSxTQIOwOpM9CU%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZTcH%C3%899nRlTuEnlppw05s34SGBcl6NRhfAptws%C3%89vXHJppQNY0WC3iSKVn%C3%81QxtOO3k07XABYNf15vS4UogHW2cxE%3D/,2019,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYX7XCNfoH8cduNCLdAP55B%C3%81Trk0p5naeNRDrHq26skR%C3%89W8AHjnKNkiaFx6h8aOozjLaSFK2d%C3%8968HBJa%C3%81ptp3UA%3D/,2019,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AV6xtvv7%C3%81WsP%C3%89As%C3%89Cn9ALUdfE%C3%89AcTGS0x43ralRJQpsLUm8BCW%C3%819NL5PRM30%C3%89TNDKny8BH%C3%81LpvlNFj1cp%C3%89agX9c%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARks5jF6oQhUszCMhPaOrCYK1gD6D6D0EjRjt4cZHjWHB17vZjRQPsNu1h8n5s2EPZEoWM1mxjhpsYOACoCS2%C3%89o%3D/,2020,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AVL6kaDUn5wm8N4gObkDmb9TSIUlaxE9CuwPSTVhmXlZklltnHxkLNRAb3xIF0Z86Ovdhvg2JoMH8U1PGEfQC4k%3D/,2020
4449002021,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Aa3n4KIlFa%C3%8112PX3EYLXC5y69ylBYRtncbCmDBFp2pre5OtHeh5z83oszhDAS22sV3Lm59LqQUGqH6lMgQIs8vU%3D/,1990,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARqvEEdVc1Q%C3%899nHIsH%C3%813fRzgOflgFUQF3Y%C3%81Rn7Ei1s8CqCkttSbSgi5JxI7kYNj04WXgY2u9CFtTf3bAwhZ%C3%89bYk%3D/,1990,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Ac95%C3%89K7CCFGYgfE6fk%C3%81OjoRENZJmwm8meyqgq7rjoOClJDidD45YE5o8JAwdNPGp1%C3%891QjTB6HfLMmgM46Q8tSBE%3D/,1990,,,,,,
4449002043,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARCmlXWxJ9e%C3%81LOeZrlOWIAAnfQSCAQVZkcI0PjLPsUSF6R7OXE6uxzt8JjwSQMPPdjLnDdRlJ6zyCpLYAyE5zRY%3D/,2019,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXas8tRPeAcvPms6NCTqmAPa4F%C3%892XNhoobIz7eyvTKi2yOgf%C3%89wk3LD5bE3uFUtQOS%C3%81oB9aHGGmMQlCoKKnz64Zk%3D/,2018,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYOZzCCSpOcTupA0Ci2Gez1RWzYUtaxzyVAwY2vMGndKmyfCK7O9Xq8uvwY5gD4BP1GQW1M9%C3%81wlWzH%C3%81%C3%89MZ80uTE%3D/,2017,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Ac8soPpdwdJj6oxukPRjBNPTGWPPzh%C3%89vBLnBXybYbzcEKBM9%C3%81qsZ2gVYj23SDljI5Ag2ESBR5gTLSObFZwj45Ww%3D/,2018,,,,
4449002044,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Ae3gXjuCIV2VW8EDaBOfrfkAREQf4f0fvgzdOagZYH9yudrAms2dZ8%C3%89sCTiNKEKbfRiTVDGo2mXeJJD4aeAdIx0%3D/,2005,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AdExhGNc2z16VAQrA43cPHzs02tci5fG%C3%89L5cgGMCZ415GRCqIkWXuCRmit%C3%81%C3%81UmxkX93Zx9NJolkYCpsCo2gdom8%3D/,2005,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AdTVQompDLK02SVMDpkhmMsHUiLPW0yIYiH9lUZnpeAQOoQGWoNhV6pzjHR0z8G5EPwFtkXy7rk1KoRM03YVBHI%3D/,2005,,,,,,
4449002051,,,,,,,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AaTQ25DWxuDrmWe9b9YcPsktQcUEVlplF7ZrjrRi2p7XErxJsZWBgEJfuHN%C3%81QZ%C3%81qUyHnwxmwL9I6FfSO9jBNLMc%3D/,2010,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYWwo5YPO0pkb42%C3%81n%C3%81jwwY6z3ZoTBfjKqZspwSzjaNwOssdFSDfgcQ9%C3%89hc402kfUUK6Yn5q%C3%89oT4ACM7XMsMVyFw%3D/,2010,,
4449002053,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AcrbS4j2oMKzIbvNYoJnQ7Vj8NMNOPa2CYZD7%C3%89vm5gGwxdIlMlBEYXeDSh2E6eL8FeIoUXqnRGjQZ1RVLvd%C3%81afg%3D/,1977,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXL4p8rhn2qogZjMIGUzbMV9fppXt6mNpJhU7krPDKRx13l3A%C3%89Ky7TVsXP3ZjFEjNyNFrmuTGhIU1rZReHrPNGw%3D/,1977,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbjDvkqFECAsg5XGF36IUzB5PEt7VB7LXtUuR7XTzGmXYs3%C3%81Tp6hz7IiN180UXkfjLYZD6BtIRvhOB6EmKDFX6g%3D/,1977,,,,,,
4449002054,,,,,,,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWqEtTIVHSFsix%C3%814D23%C3%81TVrQ35ewtTSLcK%C3%81ZBzQN9klK4vPLTOQ8CGTEPCZLG0DKrSwLLmZaYcdPhaDU94%C3%89v5Pg%3D/,2025,,,,
