APN,StreetAddress,PermitNo,PermitType,PermitStatus,DateIssued,DateFinal,DescriptionOfWork,is_sfr,is_geotech,doc_url,Itemnum,StreetNumber,StreetName,DocDate,OnBaseDocType,DocTypeESD,UnitNo,CommercialTenant
4449016004,20871 BIG ROCK DR,25-2352,BUILDING,ISSUED,2025-12-09T00:00:00,,"GUEST HOUSE WITH ATTACHED GARAGE, DECK, AND STAIRS - PALISADES FIRE REBUILD: GUEST HOUSE: 440 SF, GARAGE: 428 SF - TOTAL: 868 SF., 265 SF EXTERIOR DECK AND STAIRS W/ 42""H GLASS PANEL RAILING, (1) 22 LF X 42""H RETAINING WALL @ EXTERIOR STAIRS. 42"" STE",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=815554,815554,20871,BIG ROCK DR,2025-12-09T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4449016004,20871 BIG ROCK DR,25-2353,GRADING,ISSUED,2025-12-09T00:00:00,,"GUEST HOUSE WITH ATTACHED GARAGE, DECK, AND STAIRS - PALISADES FIRE REBUILD - SITE DRAINAGE",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=815555,815555,20871,BIG ROCK DR,2025-12-09T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450008045,20852 PACIFIC COAST HWY,26-0277,GRADING,ISSUED,2026-02-06T00:00:00,,"GRADING, DRAINAGE AND EROSION CONTROL - PALISADES FIRE REBUILD",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=821863,821863,20852,PACIFIC COAST HWY,2026-02-06T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450008045,20852 PACIFIC COAST HWY,26-0278,BUILDING,ISSUED,2026-02-06T00:00:00,,"NMFR/ATT. GARAGE + ATT. DECKS – PALISADE FIRE REBUILD  1ST LEVEL: 1,638 SF (UNIT A)  2ND LEVEL: 397 SF (UNIT A)  ATT. GARAGE AT 2ND LEVEL: 660 SF  TOTAL: 2,965 SF",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=821864,821864,20852,PACIFIC COAST HWY,2026-02-06T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450008045,20852 PACIFIC COAST HWY,26-0279,BUILDING,ISSUED,2026-02-06T00:00:00,,NMFR FOUNDATION – PALISADE FIRE REBUILD  9 PILES @ 36” IN DIAMETER  CONCRETE GRADE BEAM AT +/- 250 LF,True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=821865,821865,20852,PACIFIC COAST HWY,2026-02-06T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450012026,20450 ROCA CHICA DR,25-2015,GRADING,ISSUED,2025-10-30T00:00:00,,"GRADING, DRAINAGE AND EROSION CONTROL FOR NSFR - PALISADES FIRE REBUILD",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=812262,812262,20450,ROCA CHICA DR,2025-10-30T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450012028,20279 INLAND LN,25-2102,GRADING,ISSUED,2025-11-10T00:00:00,,"GRADING, DRAINAGE AND EROSION CONTROL FOR NSFR/ATT. GARAGE AND POOL BACKFILL – PALISADES FIRE REBUILD  ADMINISTRATIVE CHANGE FROM OWNER/BUILDER TO LICENSED GRADING CONTRACTOR REQUIRED PRIOR TO THE START OF WORK.",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=812377,812377,20279,INLAND LN,2025-11-10T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450012034,20260 INLAND LN,26-0506,BUILDING,ISSUED,2026-03-05T00:00:00,,"NSFR/ATT. GARAGE, CONCRETE SLAB FOUNDATION - PALISADES FIRE REBUILD  SINGLE STORY: 2,989 SF  ATT. GARAGE: 460 SF  TOTAL: 3,449 SF  ROOD TOP DECK",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=824057,824057,20260,INLAND LN,2026-03-05T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450012034,20260 INLAND LN,26-0505,GRADING,ISSUED,2026-03-10T00:00:00,,"GRADING, DRAINAGE, AND EROSION CONTROL FOR NSFR/ATT. GARAGE – PALISADES FIRE REBUILD",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=824056,824056,20260,INLAND LN,2026-03-10T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
4450012037,20259 INLAND LN,25-2079,GRADING,ISSUED,2025-11-07T00:00:00,,"GRADING, DRAINAGE, AND EROSION CONTROL FOR NSFR W/ATT GARAGE – PALISADES FIRE REBUILD  PRE-SITE BUILDING SAFETY INSPECTOR MEETING REQUIRED PRIOR TO THE START OF WORK.",True,False,https://publicaccess.ci.malibu.ca.us/onbase-portal/BuildingPermits/index.html?OBKey__19_1=812722,812722,20259,INLAND LN,2025-11-07T00:00:00,ESD-Street Files/Building Permits,PERMITS,,
